"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
127,"The Matrix Reloaded","lana wachowski","steve bastoni","daniel bernhardt","helmut bakaitis",2003,"English",7.2
128,"Thor: The Dark World","alan taylor","chris hemsworth","natalie portman","anthony hopkins",2013,"English",7.1
129,"Mad Max: Fury Road","george miller","tom hardy","charlize theron","zoë kravitz",2015,"English",8.1
130,"Angels & Demons","ron howard","tom hanks","ayelet zurer","armin mueller-stahl",2009,"English",6.7
131,"Thor","kenneth branagh","chris hemsworth","natalie portman","anthony hopkins",2011,"English",7
132,"Bolt","byron howard","chloë grace moretz","diedrich bader","james lipton",2008,"English",6.9
133,"G-Force","hoyt yeatman","kelli garner","piper mackenzie harris","niecy nash",2009,"English",5.1
134,"Wrath of the Titans","jonathan liebesman","liam neeson","edgar ramírez","lily james",2012,"English",5.8
135,"Dark Shadows","tim burton","johnny depp","chloë grace moretz","christopher lee",2012,"English",6.2
136,"Mission: Impossible - Rogue Nation","christopher mcquarrie","tom cruise","jeremy renner","sean harris",2015,"English",7.4
137,"The Wolfman","joe johnston","anthony hopkins","simon merrells","art malik",2010,"English",5.8
138,"The Legend of Tarzan","david yates","christoph waltz","alexander skarsgård","casper crump",2016,"English",6.6
139,"Bee Movie","steve hickner","matthew broderick","oprah winfrey","rip torn",2007,"English",6.2
140,"Kung Fu Panda 2","jennifer yuh nelson","angelina jolie pitt","gary oldman","mike bell",2011,"English",7.3
141,"The Last Airbender","m. night shyamalan","seychelle gabriel","noah ringer","aasif mandvi",2010,"English",4.2
142,"Mission: Impossible III","j.j. abrams","philip seymour hoffman","tom cruise","eddie marsan",2006,"English",6.9
143,"White House Down","roland emmerich","channing tatum","jake weber","matt craven",2013,"English",6.4
144,"Mars Needs Moms","simon wells","elisabeth harnois","dan fogler","tom everett scott",2011,"English",5.4
145,"Flushed Away","david bowers","hugh jackman","kate winslet","david suchet",2006,"English",6.7
146,"Pan","joe wright","hugh jackman","cara delevingne","nonso anozie",2015,"English",5.8
147,"Mr. Peabody & Sherman","rob minkoff","ty burrell","zach callison","karan brar",2014,"English",6.9
148,"Troy","wolfgang petersen","brad pitt","orlando bloom","julian glover",2004,"English",7.2
149,"Madagascar 3: Europe's Most Wanted","eric darnell","jada pinkett smith","martin short","cedric the entertainer",2012,"English",6.9
150,"Die Another Day","lee tamahori","toby stephens","colin salmon","rick yune",2002,"English",6.1
151,"Ghostbusters","paul feig","ed begley jr.","kate mckinnon","zach woods",2016,"English",5.5
152,"Armageddon","michael bay","bruce willis","steve buscemi","will patton",1998,"English",6.6
153,"Men in Black II","barry sonnenfeld","will smith","rosario dawson","rip torn",2002,"English",6.1
154,"Beowulf","robert zemeckis","robin wright","anthony hopkins","sebastian roché",2007,"English",6.3
155,"Kung Fu Panda 3","alessandro carloni","j.k. simmons","angelina jolie pitt","wayne knight",2016,"English",7.2
156,"Mission: Impossible - Ghost Protocol","brad bird","tom cruise","jeremy renner","michael nyqvist",2011,"English",7.4
157,"Rise of the Guardians","peter ramsey","hugh jackman","kamil mcfadden","khamani griffin",2012,"English",7.3
158,"Fun with Dick and Jane","dean parisot","john michael higgins","richard burgi","david herman",2005,"English",6.1
159,"The Last Samurai","edward zwick","tom cruise","tony goldwyn","chad lindberg",2003,"English",7.7
160,"Exodus: Gods and Kings","ridley scott","christian bale","maría valverde","ben mendelsohn",2014,"English",6.1
161,"Star Trek","j.j. abrams","chris hemsworth","leonard nimoy","bruce greenwood",2009,"English",8
162,"Spider-Man","sam raimi","j.k. simmons","james franco","kirsten dunst",2002,"English",7.3
163,"How to Train Your Dragon 2","dean deblois","gerard butler","djimon hounsou","america ferrera",2014,"English",7.9
164,"Gods of Egypt","alex proyas","gerard butler","elodie yung","bryan brown",2016,"English",5.5
165,"Stealth","rob cohen","sam shepard","joe morton","richard roxburgh",2005,"English",5
166,"Watchmen","zack snyder","matt frewer","billy crudup","stephen mchattie",2009,"English",7.7
167,"Lethal Weapon 4","richard donner","jet li","rene russo","darlene love",1998,"English",6.6
168,"Hulk","ang lee","kevin rankin","regi davis","celia weston",2003,"English",5.7
169,"G.I. Joe: Retaliation","jon m. chu","channing tatum","dwayne johnson","elodie yung",2013,"English",5.8
170,"Sahara","breck eisner","matthew mcconaughey","rainn wilson","delroy lindo",2005,"English",6
171,"Final Fantasy: The Spirits Within","hironobu sakaguchi","steve buscemi","ming-na wen","jean simmons",2001,"English",6.4
172,"Captain America: The First Avenger","joe johnston","chris evans","dominic cooper","hayley atwell",2011,"English",6.9
173,"The World Is Not Enough","michael apted","colin salmon","maria grazia cucinotta","desmond llewelyn",1999,"English",6.4
174,"Master and Commander: The Far Side of the World","peter weir","james d'arcy","lee ingleby","david threlfall",2003,"English",7.4
175,"The Twilight Saga: Breaking Dawn - Part 2","bill condon","robert pattinson","kristen stewart","taylor lautner",2012,"English",5.5
176,"Happy Feet 2","george miller","robin williams","brad pitt","common",2011,"English",5.9
177,"The Incredible Hulk","louis leterrier","ty burrell","peter mensah","william hurt",2008,"English",6.8
178,"Miami Vice","","don johnson","philip michael thomas","john diehl",NA,"English",7.5
179,"The BFG","steven spielberg","mark rylance","penelope wilton","rafe spall",2016,"English",6.8
180,"The Revenant","alejandro g. iñárritu","leonardo dicaprio","tom hardy","lukas haas",2015,"English",8.1
181,"Turbo","david soren","ryan reynolds","snoop dogg","ben schwartz",2013,"English",6.5
182,"Rango","gore verbinski","johnny depp","ray winstone","stephen root",2011,"English",7.2
183,"Penguins of Madagascar","eric darnell","benedict cumberbatch","annet mahendru","andy richter",2014,"English",6.7
184,"The Bourne Ultimatum","paul greengrass","matt damon","edgar ramírez","albert finney",2007,"English",8.1
185,"Kung Fu Panda","mark osborne","angelina jolie pitt","wayne knight","dan fogler",2008,"English",7.6
186,"Ant-Man","peyton reed","judy greer","hayley atwell","t.i.",2015,"English",7.4
187,"The Hunger Games: Catching Fire","francis lawrence","jennifer lawrence","josh hutcherson","sandra ellis lafferty",2013,"English",7.6
188,"The Twilight Saga: Breaking Dawn - Part 2","bill condon","robert pattinson","kristen stewart","taylor lautner",2012,"English",5.5
189,"Home","tim johnson","jim parsons","matt jones","april winchell",2015,"English",6.7
190,"War of the Worlds","steven spielberg","tom cruise","lisa ann walter","rick gonzalez",2005,"English",6.5
191,"Bad Boys II","michael bay","will smith","henry rollins","jordi mollà",2003,"English",6.6
192,"Puss in Boots","chris miller","salma hayek","constance marie","amy sedaris",2011,"English",6.7
193,"Salt","phillip noyce","angelina jolie pitt","andre braugher","august diehl",2010,"English",6.4
194,"Noah","darren aronofsky","anthony hopkins","emma watson","logan lerman",2014,"English",5.8
195,"The Adventures of Tintin","steven spielberg","toby jones","mackenzie crook","tony curran",2011,"English",7.4
196,"Harry Potter and the Prisoner of Azkaban","alfonso cuarón","daniel radcliffe","gary oldman","rupert grint",2004,"English",7.8
197,"Australia","baz luhrmann","essie davis","bryan brown","eddie baroo",2008,"English",6.6
198,"After Earth","m. night shyamalan","will smith","zoë kravitz","glenn morshower",2013,"English",4.9
199,"Dinosaur","eric leighton","alfre woodard","d.b. sweeney","della reese",2000,"English",6.5
200,"Harry Potter and the Deathly Hallows: Part II","matt birch","rupert grint","dave legeno","ralph ineson",2011,"English",7.5
201,"Night at the Museum: Secret of the Tomb","shawn levy","robin williams","rami malek","steve coogan",2014,"English",6.2
202,"Megamind","tom mcgrath","j.k. simmons","brad pitt","will ferrell",2010,"English",7.3
203,"Harry Potter and the Sorcerer's Stone","chris columbus","daniel radcliffe","fiona shaw","verne troyer",2001,"English",7.5
204,"R.I.P.D.","robert schwentke","ryan reynolds","jeff bridges","stephanie szostak",2013,"English",5.6
205,"Godzilla Resurgence","hideaki anno","mark chinnery","shin'ya tsukamoto","atsuko maeda",2016,"Japanese",8.2
206,"Pirates of the Caribbean: The Curse of the Black Pearl","gore verbinski","johnny depp","orlando bloom","jack davenport",2003,"English",8.1
207,"Harry Potter and the Deathly Hallows: Part I","matt birch","rupert grint","toby jones","alfred enoch",2010,"English",6.4
208,"The Hunger Games: Mockingjay - Part 1","francis lawrence","jennifer lawrence","philip seymour hoffman","josh hutcherson",2014,"English",6.7
209,"The Da Vinci Code","ron howard","tom hanks","seth gabel","jürgen prochnow",2006,"English",6.6
210,"Rio 2","carlos saldanha","miguel ferrer","rachel crow","jeffrey garcia",2014,"English",6.4
211,"X-Men 2","bryan singer","hugh jackman","bruce davison","aaron stanford",2003,"English",7.5
212,"Fast Five","justin lin","paul walker","vin diesel","dwayne johnson",2011,"English",7.3
213,"Sherlock Holmes: A Game of Shadows","guy ritchie","robert downey jr.","eddie marsan","paul anderson",2011,"English",7.5
214,"Clash of the Titans","louis leterrier","liam neeson","jason flemyng","alexa davalos",2010,"English",5.8
215,"Total Recall","paul verhoeven","ronny cox","rachel ticotin","marshall bell",1990,"English",7.5
216,"The 13th Warrior","john mctiernan","tony curran","vladimir kulich","clive russell",1999,"English",6.6
217,"The Bourne Legacy","tony gilroy","jeremy renner","scott glenn","stacy keach",2012,"English",6.7
218,"Batman & Robin","joel schumacher","michael gough","vivica a. fox","john glover",1997,"English",3.7
219,"How the Grinch Stole Christmas","ron howard","clint howard","t.j. thyne","molly shannon",2000,"English",6
220,"The Day After Tomorrow","roland emmerich","jake gyllenhaal","dennis quaid","sela ward",2004,"English",6.4
221,"Mission: Impossible II","john woo","tom cruise","dougray scott","richard roxburgh",2000,"English",6.1
222,"The Perfect Storm","wolfgang petersen","karen allen","mary elizabeth mastrantonio","bob gunton",2000,"English",6.4
223,"Fantastic 4: Rise of the Silver Surfer","tim story","chris evans","ioan gruffudd","andre braugher",2007,"English",5.6
224,"Life of Pi","ang lee","suraj sharma","rafe spall","tabu",2012,"English",8
225,"Ghost Rider","mark steven johnson","nicolas cage","matt long","peter fonda",2007,"English",5.2
226,"Jason Bourne","paul greengrass","matt damon","riz ahmed","ato essandoh",2016,"English",7.1
227,"Charlie's Angels: Full Throttle","mcg","demi moore","bernie mac","justin theroux",2003,"English",4.8
228,"Prometheus","ridley scott","michael fassbender","charlize theron","sean harris",2012,"English",7
229,"Stuart Little 2","rob minkoff","nathan lane","brad garrett","melanie griffith",2002,"English",5.4
230,"Elysium","neill blomkamp","matt damon","sharlto copley","alice braga",2013,"English",6.6
231,"The Chronicles of Riddick","david twohy","vin diesel","alexa davalos","christina cox",2004,"English",6.7
232,"RoboCop","josé padilha","gary oldman","abbie cornish","jennifer ehle",2014,"English",6.2
233,"Speed Racer","lana wachowski","scott porter","kick gurry","nicholas elia",2008,"English",6.1
234,"How Do You Know","james l. brooks","shelley conn","domenick lombardozzi","teyonah parris",2010,"English",5.3
235,"Knight and Day","james mangold","tom cruise","marc blucas","jordi mollà",2010,"English",6.3
236,"Oblivion","joseph kosinski","morgan freeman","tom cruise","zoë bell",2013,"English",7
237,"Star Wars: Episode III - Revenge of the Sith","george lucas","natalie portman","christopher lee","hayden christensen",2005,"English",7.6
238,"Star Wars: Episode II - Attack of the Clones","george lucas","natalie portman","christopher lee","hayden christensen",2002,"English",6.7
239,"Monsters, Inc.","pete docter","steve buscemi","john ratzenberger","james coburn",2001,"English",8.1
240,"The Wolverine","james mangold","hugh jackman","tao okamoto","rila fukushima",2013,"English",6.7
241,"Star Wars: Episode I - The Phantom Menace","george lucas","natalie portman","liam neeson","ian mcdiarmid",1999,"English",6.5
242,"The Croods","kirk de micco","ryan reynolds","emma stone","nicolas cage",2013,"English",7.3
243,"Asterix at the Olympic Games","frédéric forestier","alain delon","santiago segura","vanessa hessler",2008,"French",5.1
244,"Windtalkers","john woo","nicolas cage","roger willie","noah emmerich",2002,"English",6
245,"The Huntsman: Winter's War","cedric nicolas-troyan","chris hemsworth","sam claflin","charlize theron",2016,"English",6.1
246,"Teenage Mutant Ninja Turtles","jonathan liebesman","noel fisher","danny woodburn","jeremy howard",2014,"English",5.9
247,"Gravity","alfonso cuarón","phaldut sharma","basher savage","amy warren",2013,"English",7.8
248,"Dante's Peak","roger donaldson","jamie renée smith","grant heslov","tzi ma",1997,"English",5.8
249,"Teenage Mutant Ninja Turtles: Out of the Shadows","dave green","stephen amell","noel fisher","brad garrett",2016,"English",6.3
250,"Fantastic Four","josh trank","tim blake nelson","reg e. cathey","tim heidecker",2015,"English",4.3
251,"Night at the Museum","shawn levy","robin williams","rami malek","steve coogan",2006,"English",6.4
252,"San Andreas","brad peyton","dwayne johnson","ioan gruffudd","archie panjabi",2015,"English",6.1
253,"Tomorrow Never Dies","roger spottiswoode","vincent schiavelli","colin salmon","joe don baker",1997,"English",6.5
254,"The Patriot","roland emmerich","heath ledger","adam baldwin","tom wilkinson",2000,"English",7.1
255,"Ocean's Twelve","steven soderbergh","brad pitt","julia roberts","mini anden",2004,"English",6.4
256,"Mr. & Mrs. Smith","doug liman","brad pitt","angelina jolie pitt","stephanie march",2005,"English",6.5
257,"Insurgent","robert schwentke","kate winslet","theo james","mekhi phifer",2015,"English",6.3
258,"The Aviator","martin scorsese","leonardo dicaprio","adam scott","frances conroy",2004,"English",7.5
259,"Gulliver's Travels","rob letterman","james corden","catherine tate","olly alexander",2010,"English",4.9
260,"The Green Hornet","michel gondry","christoph waltz","tom wilkinson","chad l. coleman",2011,"English",5.8
261,"The A-Team","","george peppard","dirk benedict","dwight schultz",NA,"English",7.6
262,"300: Rise of an Empire","noam murro","eva green","sullivan stapleton","peter mensah",2014,"English",6.2
263,"The Smurfs","raja gosnell","mahadeo shivraj","tim gunn","madison mckinley",2011,"English",5.5
264,"Home on the Range","will finn","steve buscemi","roseanne barr","g.w. bailey",2004,"English",5.4
265,"Allegiant","robert schwentke","naomi watts","theo james","zoë kravitz",2016,"English",5.8
266,"Real Steel","shawn levy","hugh jackman","torey michael adkins","olga fonda",2011,"English",7.1
267,"The Smurfs 2","raja gosnell","jacob tremblay","nancy o'dell","vanessa matsui",2013,"English",5.4
268,"Speed 2: Cruise Control","jan de bont","jason patric","temuera morrison","lois chiles",1997,"English",3.7
269,"Ender's Game","gavin hood","harrison ford","moises arias","aramis knight",2013,"English",6.7
270,"Live Free or Die Hard","len wiseman","bruce willis","jonathan sadowski","cyril raffaelli",2007,"English",7.2
271,"The Lord of the Rings: The Fellowship of the Ring","peter jackson","christopher lee","orlando bloom","billy boyd",2001,"English",8.8
272,"Around the World in 80 Days","frank coraci","jim broadbent","steve coogan","cécile de france",2004,"English",5.8
273,"Ali","michael mann","will smith","jada pinkett smith","joe morton",2001,"English",6.8
274,"The Cat in the Hat","bo welch","sean hayes","kelly preston","spencer breslin",2003,"English",3.8
275,"I, Robot","alex proyas","will smith","bruce greenwood","chi mcbride",2004,"English",7.1
276,"Kingdom of Heaven","ridley scott","liam neeson","orlando bloom","philip glenister",2005,"English",7.2
277,"Stuart Little","rob minkoff","chazz palminteri","nathan lane","jeffrey jones",1999,"English",5.9
278,"The Princess and the Frog","ron clements","oprah winfrey","jenifer lewis","anika noni rose",2009,"English",7.1
279,"The Martian","ridley scott","matt damon","donald glover","benedict wong",2015,"English",8.1
280,"10,000 B.C.            ","christopher barnard","mathew buck","","",NA,"",7.2
281,"The Island","michael bay","scarlett johansson","steve buscemi","djimon hounsou",2005,"English",6.9
282,"Town & Country","peter chelsom","del zamora","warren beatty","garry shandling",2001,"English",4.4
